titre,prix,gouvernerat et date dajout,Kilométrage,Couleur du véhicule,Boite,Année,Cylindrée,Marque,Modèle,Puissance fiscale,Type de carrosserie,Carburant,Number of Pictures,Description
toyota yaris sedan,0,"Monastir , 10 days ago",150000,Doré,Manuelle,2015,1.2L,Toyota,Yaris Verso,6,Compacte,Essence,6,"

          toyota yasis sedan
          







             Afficher le numéro
            



"
sangyoung action sport 4*4,1,"La Manouba , 16 days ago",129000,Blanc,Manuelle,2014,2.0L,Ssangyong,Actyon,07,Pick up,Diesel,8,"
         a vendre sangyoung action sport 4*4
tout options
année 2014
129000km
état très propre
        "
voiture great wal M4,0,"Sfax , a day ago",0,Noir,Manuelle,2020,1.4L,GMC,Hover,6,Berline,Essence,6,"
         voiture 1 main tt option
        "
ovetto n'eos,0,"Sousse , 5 days ago",2006,Bleu,Automatique,2006,10,"








             Afficher le numéro
            



         bkolha f d'origine
        ",,,,,,
Clio Dynamique,0,"Sousse , a month ago",154,Rouge,Manuelle,2014,1.2L,Renault,Clio,5,Compacte,Essence,10,"

          Clio Essence Estate Rouge interieur Rouge
Dynamique état neuf importée Tu 210
Tel
          







             Afficher le numéro
            



"
Caddy maxi A vendre,0,"Ariana , 19 days ago",479000,Blanc,Manuelle,2012,2.3L,Volkswagen,Caddy,7,Utilitaire,Diesel,5,"

          Société Cellcom
Avis de vente Véhicule Usagée
La société CELLCOM se propose de vendre sous pli fermé au plus offrant la Véhicule Suivante :
Volkswagen Caddy maxi :Année 2012 /479000 Km/Série 158
Les personnes intéressées par cette vente peuvent visualiser ces véhicules au parc de la société 25, rue de l’artisanat Charguia 2, Ariana du lundi au vendredi de 8h00 jusqu’au 17h30
Les offres doivent parvenir, obligatoirement au nom de Monsieur le Directeur Général du la société CELLCOM sous pli fermé, portant la mention « Ne pas ouvrir offre pour acquisition Voiture » par rapide poste ou par lettre recommandée avec accusé de réception ou déposées directement au bureau d’ordre central contre accusé de réception et ils doivent contenir les pièces suivantes :
1.L’offre Financière.
2.Copie de La CIN du participant et les informations relatives à son adresse et à son numéro de téléphone.
La date Limite de réception des offres est fixée au 11 Décembre 2023 à 17h.
Toute Offre ne renfermant pas Tous les Documents demandés ou parvenue après la date Limite de réception des offres sera rejetée.
Le paiement sera effectué par chèque certifié ou par virement Bancaire.
Pour Plus d'informations Merci de contacter :
          







             Afficher le numéro
            




          /
          







             Afficher le numéro
            



"
ouveto,4000,"Sfax , 10 days ago",000000,Jaune,Manuelle,2022,7,"
         double egoui 50
        ",,,,,,
mercedes vito avendre,0,"La Manouba , a month ago",40000,Manuelle,Mercedes-Benz,Vito,Diesel,0,8,"

          A vendre nouvelle mercedes benz vito
appeler :
          







             Afficher le numéro
            



",,,,
Scooter electric,1900,"Ariana , 4 days ago",2023,4,"
         Jawha behy wmafeha chy nekes marque:jeep
        ",,,,,,,,,
Belle Hyundai i10 sedan nouveau modèle,50900,"Ariana , 9 days ago",16000,Noir,Manuelle,2022,1.2L,Hyundai,I 10,5,Berline,Essence,10,"
         à vendre une belle hunday i10 sedan série 227 toute option écran tactile très peu roulée 16000 km.
2ème voiture et non utilisée.
profitez-en !
        "
piéces polo 7 Tél 22357313,0,"Ben Arous , 23 days ago",10,"
         pieces polo 7
        ",,,,,,,,,,
301,25500,"La Manouba , a month ago",220,Gris,Manuelle,2019,1.2L,Peugeot,301,5,Berline,Essence,5,"

          Année 2019
5 ch essence
Climatisee, chauffage, fermeture centrale, abs
Vitres électriques
Voiture très très proper extérieur et entereure jamais touché
Prix 25500 négociable
Disponible manouba jedaida
Tel
          







             Afficher le numéro
            



"
Mercedes,1,"Sfax , 5 days ago",22000,Blanc,Automatique,2021,1.8L,Mercedes-Benz,Classe C,9,Berline,Hybride,7,"
         Mercedes classe C 180
toutes options
importé de l Allemagne
        "
Suzuki Celerio A vendre,30500,"Sousse , 2 days ago",86500,Gris,Manuelle,2020,<1.0L,Suzuki,Celerio,4,Compacte,Essence,3,"

          Voiture bien entretenue et avec son carnet d'entretien
* Modèle : 2020
* Kilometrage: 86500
* Première main
* Roue de secours jamais utilisé
*Tous les pièces sont à l'origine
* Suivi qu'avec la maison Suzuki
---Juste pour les sérieux !---
Prix légèrement négociable
Tel 1 :
          







             Afficher le numéro
            




          Tel 2:
          







             Afficher le numéro
            



"
Volkswagen,0,"Tunis , 19 days ago",5,"

          Caméra de récul vw cacheté
golf 6 passat b6 b7 passat cc polo 6 7 8
Autoradio vw cacheté Ecran tactile bleutooth mains libre et streaming audio et usb-Dab+ Apple car play et android auto
Compatible avec volkswagen Golf 6 7 8 passat B7 B8 transporter 2023
Dispo tunis centre ville
          







             Afficher le numéro
            



",,,,,,,,,,
seat ibiza style,123456,"Tunis , a month ago",145382,Gris,Manuelle,2015,1.2L,Seat,Ibiza,5,Utilitaire,Essence,8,"
         seat ibiza
modèle 2015
tout option
toi ouvrant
1.2l
1 ère main
145386 km
commande au volant
climatronique
4 vitre électrique
led avant et arrière
accoudoir av
retro rabattable
double clé
faible consommation
        "
Golf 7 IQ Drive 2020,77500,"Tunis , 2 days ago",77000,Bleu,Manuelle,2020,<1.0L,Volkswagen,Golf 7,6,Berline,Essence,10,"
         À vendre une Golf 7, phase 2, 1.0 TSI, 6cv essence, boite de vitesse manuelle à 6 rapports, édition spéciale IQ.Drive, mise en circulation 09/2019 avec 77.000km.
- jantes en alliage 16"" ""Dublin"",
- couleur spéciale édition limitée Petrolium Blue,
- coques de rétroviseurs noire brillant,
- détecteur d'angle mort,
- phares led avec Light Assist,
- rétroviseurs électriques, dégivrants et rabattables électriquement avec éclairages d’accueil,
- capteurs pluie et luminosité,
- radars avant et arrière avec assistance de circulation 360 degrés,
- Park assit avec 3 modes de créneaux automatique,
- feux arrière à leds,
- rear assist et front Assist avec détecteur piétons,
- logo spécifique sur montant central, seuils de portes et projection led au sol,
- sellerie spécifique tissu noir / bleu Petrole,
- inserts décoratifs ""Piano Noir laqué"" sur tableau de bord côté conducteur et console centrale,
- inserts décoratifs spécifiques côté passager et contreportes,
- pédalier inox,
- ""Lane Assist"" (maintien de voie) et ""Sign Assist"" (reconnaissance des panneaux),
- ""VW Media Control"",
- climatisation régulée bizone Climatronic,
- système audio ""Composition Media"" avec écran tactile 8"",
- ""App Connect"",
- volant multifonction gainé cuir avec commande radio, Bluetooth, aide à la conduite et ordinateur de bord,
- régulateur de vitesse adaptatif ACC avec assistance anti-collision,
- ordinateur de bord multifonction avec alerte de pression des pneus,
- détecteur de fatigue conducteur,
- quatre vitres électriques,
- rétroviseur intérieur électrochromatique,
- accoudoir central arrière et avant avec rangement,
- miroirs de courtoisie éclairés,
- prise 12v dans le coffre.
Et plusieurs autres options…
Voiture tres bien entretenue, en parfait état, peinture d’origine, très peu roulé en Tunisie.
        "
Ovetto 50 double aiguille,3600,"Sfax , a month ago",1,Bleu,Automatique,2000,5,"

          Ovetto 50 double aiguille ndhifa kol chay yemchi
          







             Afficher le numéro
            



",,,,,,
Trottinette 🛴 électrique airwheel x3,550,"Sousse , a month ago",2021,5,"
         Trottinette airwheel x3 en très bonne état 🍓importé 🇫🇷
        ",,,,,,,,,
mazda BT50,40000,"Sfax , 2 hours ago",250000,Noir,Manuelle,2006,2.5L,Mazda,BT-50,11,4 x 4,Diesel,10,"
         Mazda BT50 année 2006
km250000
        "
"Mini Cooper modèle 2009
Toit panoramique For Sale",0,"Sfax , 13 days ago",0,Blanc,Manuelle,2009,1.3L,mini,Cooper,5,Autres,Essence,10,"

          Pour plus d’informations
          







             Afficher le numéro
            



"
FORD TRANSIT CUSTOM 2.2 L DIESEL,64000,"Sousse , 20 days ago",120000,Noir,Manuelle,2019,2.2L,Ford,Transit,7,Utilitaire,Diesel,3,"
         Le véhicule a l’air neuf et sa mécanique est en état nickel.
FORD TRANSIT CUSTOM 2.2 L DIESEL, 1ère main, Année 2019, 120000km, n'a jamais été employée pour un usage commercial.
Le prix est un peu négociable.
        "
mercedes250d tl 26367067,0,"Monastir , 12 days ago",250,Bleu,Automatique,1990,2.5L,Mercedes-Benz,250,7,Berline,Diesel,6,"

          une très belle voiture Mercedes-Benz 250d à vendre tl
          







             Afficher le numéro
            



         boîte automatique
5 cylindre 7ch
4 gente aluminium
Feux led exinon
Vitre électrique
volant assisté
ABS
fermeture centrale à distance
        "
Zimota,1200,"Zaghouan , a month ago",00000,Autre,Automatique,2020,1,"
         Bon prix
        ",,,,,,
"Volswagen, Passat CL à vendre",12000,"Sfax , 6 hours ago",-1,Blanc,Manuelle,1990,>4.0L,Volkswagen,7,Passat CC,Essence,Autres,4,"
         - Première main.
- Volswagen, Passat CL , 1990 avec puissance fiscale 7 et couleur blanche.
- L'état de voiture est pratiquement bon.
- Le prix est a débattre.
        "
Passat première main en très bonne état,67000,"Tunis , 6 days ago",103000,Doré,Automatique,2016,1.4L,Volkswagen,Passat,7,Compacte,Essence,7,"

          a vendre une Passat 1.4, essence en très bonne état, première main, mise en circulation mars 2016.
km : 103000 km
Prix : 67000
tel :
          







             Afficher le numéro
            



"
fiat doblo,0,"Sfax , 15 days ago",208000,Gris,Manuelle,2015,1.3L,Fiat,Doblo,5,Utilitaire,Diesel,8,"
         4 roue neuf (kleber)
kit chaîne
disque embrayage
radiateur turbo neuf
collecteur admission neuf
entretien à jour
        "
Skoda Yeti,32,"Tunis , 4 days ago",180000,Noir,Automatique,2011,1.6L,Skoda,Yeti,6,Autres,Essence,6,"
         skoda
        "
KIA RIO 1.2,0,"Sfax , 2 hours ago",120000,Blanc,Manuelle,2017,1.2L,Kia,Rio,5,Compacte,Essence,5,"

          ✓ FIN 2017
✓ 𝑬𝒏𝒆𝒓𝒈𝒊𝒆 : ESSENCE ✓ 𝑷𝒖𝒊𝒔𝒔𝒂𝒏𝒄𝒆 𝒇𝒊𝒔𝒄𝒂𝒍𝒆: 5 𝒄𝒗
✓𝑲𝒊𝒍𝒐𝒎𝒆́𝒕𝒓𝒂𝒈𝒆: 120.000𝒌𝒎 ➪ 𝑳𝒆𝒔 𝒐𝒑𝒕𝒊𝒐𝒏𝒔 :
✓ 𝑴𝒖𝒍𝒕𝒊𝒇𝒐𝒏𝒄𝒕𝒊𝒐𝒏𝒔
✓ 𝑹𝒆́𝒕𝒓𝒐𝒗𝒊𝒔𝒆𝒖𝒓𝒔 électriques rabatable
✓ 𝑱𝒂𝒏𝒕𝒆𝒔 17""
✓ FEUX de jour 𝑳𝑬𝑫
✓ 4 VITRES ÉLECTRIQUES
Ecran tactile ✓ 𝑴𝒂𝒕𝒓𝒊𝒄𝒖𝒍𝒆: 198
✅ Disponible chez notre showroom : Boulevard de l'environnement km 4 cité habib en face mosquée 🕌 elhouda sfax
☏︎ 𝑪𝒐𝒏𝒕𝒂
          







             Afficher le numéro
            




          /
          







             Afficher le numéro
            




          /
          







             Afficher le numéro
            



"
Peugeot 407 Navteq importé,26000,"Tunis , 13 days ago",300,Noir,Manuelle,2009,1.6L,Peugeot,407 SW,6,Berline,Diesel,10,"
         full options
        "
Super faster,123,"Gafsa , a month ago",196000,Beige,Manuelle,1999,2.4L,Isuzu,D-MAX,10,Pick up,Diesel,4,"

          سيبار فاستر 10 خيول أسيستاي وآلارم كل شي فيها مريڨل ناقصة فقط شارج كليماتيزور شوية روتوش دهن للجاد واللي يحب يكسب كرهبة نظيفة يتصل
          







             Afficher le numéro
            



"
Haval H6 BVA 🚘,83,"Ariana , 7 days ago",100000,Noir,Automatique,2019,1.5L,Autres,Autres,09,4 x 4,Essence,10,"

          🚘 Haval H6 BVA 🚘
➖ Première main / تسجيل اول
➖ Modèle 2019
➖ 100.000 km
➖ Entretien maison
➖ 9cv essence
➖ Parking automatique
➖ Park Pilot av/ar / caméra 360°
➖ Climatronic multizone
➖ Toit Ouvrant panoramique
➖ Full Led
➖ Lumiere d'ambiance
➖ Interieur Cuir marron
➖ Chargeur Cd /bluetooth
➖ rétroviseurs électriques, rabattables
➖ Cruise Control (reg/lim de vitesse )
💰83MD 💰
⛔Possibilité de Vente ou Echange⛔
☎
          







             Afficher le numéro
            



         ☎
📌Showroom Platinium Auto Ariana: Rond Point entre Ariana et la Sokra (Direction Tunis sous le pont autoroute bizerte)
        "
Voiture à vendre,0,"Ben Arous , a month ago",116500,Noir,Manuelle,2012,1.6L,Chevrolet,Cruze,7,Compacte,Essence,9,"
         Chevrolet Cruze - Noire
1.6
7 CH
4 airbags
4 portes
        "
Pinto Grandi,1234567,"Sidi Bouzid , 17 days ago",170000,Gris,Manuelle,2006,1.5L,Fiat,Pinto,5,Autres,Essence,4,"
         machya 170 vitr électronique clumatyser peinture d'origine
        "
forzza max a vendre,1234,"Tunis , a month ago",1500,Noir,Manuelle,2023,4,"
         bon état
        ",,,,,,
mercedes benz classe c180 num: 29130295,0,"Tunis , 17 days ago",200000,Blanc,Automatique,2009,<1.0L,Mercedes-Benz,190,00,Autres,Essence,6,"

          Mercedes-benz classe c180
✅Annee 2009
✅essence 9ch
✅200000km
✅Boîte auto
✅2 clés
✅Option :
✅Ècrant dvd
✅cuir
🔥voiture néuf d'origine état
Num tél @
          







             Afficher le numéro
            



"
Ford fusion 2009,21500,"Nabeul , 2 days ago",255000,Noir,Manuelle,2009,1.3L,Ford,Fusion,5,Monospace,Essence,10,"
         Double tapis
Climatisé
Fermeture centrale
Vitres électriques
Jantes aluminium
Air bague
        "
capture,43000,"Ben Arous , a month ago",145000,Orange,Manuelle,2014,<1.0L,Renault,Capture,6,Pick up,Essence,6,"
         je mets en vente
        "
parechoc vw golf 5 avec jupe arrière,550,"Ariana , 3 hours ago",3,"
         original vw
        ",,,,,,,,,,
peugeot partner K9,22,"Monastir , 7 days ago",173000,Noir,Manuelle,2019,1.6L,Peugeot,Partner,6,Berline,Diesel,9,"
         peugeot partner K9
model 2019
1.6 5 cv
        "
Mercedes c 180 diesel,54000,"Sousse , 4 days ago",270000,Gris,Manuelle,2012,1.9L,Mercedes-Benz,Classe C,06,Berline,Diesel,10,"
         voiture bon état
        "
voiture de famille,30,"Nabeul , 18 days ago",104000,Noir,Manuelle,2018,1.2L,Chevrolet,Cruze,5,Berline,Essence,5,"

          Utiliser par un cadre retraite le prix et négociable tel
          







             Afficher le numéro
            




          ou
          







             Afficher le numéro
            



"
Compresseur 206 plus,500,"Ben Arous , a month ago",1,"
         Compresseur climatiseur 206+
        ",,,,,,,,,,
ovetto 2006,3900,"Bizerte , 9 days ago",9999,Bleu,Automatique,2006,6,"

          Motor occasion comme neuf tt dorigine comme photo avec :
- faible consommation
- démarreur en marche
- bloc volant
- embrayage arrière yamaha neuf encore
- variateur avant yamaha neuf encore
- courroie yamaha
- cylindre yamaha encore 49cc
- 2 pneus dorigine veeruber
- amortisseur dorigine
- prix : 3700dt négociation sur place svp
- pas d'échange svp
- numéro :
          







             Afficher le numéro
            



         - encore importe de France
(Juste problème : compter ne marche pas demi-digitale)
        ",,,,,,
Toyota 1 ère main,33800,"Tunis , 6 hours ago",26000,Gris,Manuelle,2021,<1.0L,Toyota,Aygo,4,Compacte,Essence,9,"
         a vendre Toyota agya neuve entretien maison avec facture a l appuie voiture full options très économique
        "
hyundai i 20,48800,"Tunis , 9 hours ago",65,Rouge,Manuelle,2020,1.2L,Hyundai,I 20,5,Autres,Essence,10,"

          hyundai i 20
tél
          







             Afficher le numéro
            



         تسجيل اول
        "
🏁 KIA RIO GT-LINE 1er Main🏁,67000,"Ben Arous , a day ago",65000,Gris,Manuelle,2022,1.2L,Kia,Rio,05,Compacte,Essence,9,"

          🏁 KIA RIO GT-LINE 1er Main🏁
✅ 65.000 Km
✅ 05 CV Essence
✅ TU 227
✅ 02 / 2022
✅ Echange possible
💰 67 000 💰
📞
          







             Afficher le numéro
            



         26 588
📍 Disponible à notre showroom Concept Car prés station Shell sur autoroute A1 après sortie El Mourouj.
        "
🚘Suzuki CELERIO🚘,0,"Ariana , 2 days ago",60897,Orange,Manuelle,2021,<1.0L,Suzuki,Celerio,4,Berline,Essence,10,"

          🚘Suzuki CELERIO🚘
✅1er main
✅tout options
✅année 10 /2021
✅km 60 897
✅ tu 226
✅1.0
✅4 cv
✅Essence
⚡️On accepte l'échange des voitures⚡️
☎️
          







             Afficher le numéro
            




          /
          







             Afficher le numéro
            



         showroom🚗 MHIRI AUTO🚗
مرحبا بيكم😍😍
📍Résidence Feres lotissement al Yamama Jardin Del Menzah2
        "
Peageot 206,14500,"Ben Arous , 11 days ago",245000,Gris,Manuelle,2002,1.1L,Peugeot,206,4,Autres,Essence,7,"
         En bon Etat
        "
megane scenic 2 dci 1.5,12345,"Nabeul , 5 days ago",200000,Gris,Manuelle,2005,1.5L,Renault,Scenic,5,Berline,Diesel,10,"

          bonne état tel
          







             Afficher le numéro
            



"
Ford ranger,11,"Kasserine , 7 days ago",200,Gris,Manuelle,2009,2.9L,Ford,Ranger,10,4 x 4,Diesel,6,"
         Ford ranger 4 port en bon état
        "
Turbo pompe injection injecteurs 23286341,500,"Jendouba , a month ago",6,"

          Turbo boxer master traffic golf Ford ...
Injecteurs HDi dci tdi...
Pompe injection golf 6 301 partner 1.9..
Calculateur bsm...
          







             Afficher le numéro
            



",,,,,,,,,,
kia sorento 2012 diesel,0,"Sousse , 16 days ago",180000,Gris,Automatique,2012,2.2L,Kia,Sorento,12,4 x 4,Diesel,10,"

          kia sorento 2012 diesel 12 cv 180.000 km 4×4
          







             Afficher le numéro
            



"
Mahindra kuv 100,33000,"Tunis , 15 days ago",50000,Noir,Manuelle,2019,1.2L,Mahindra,Hover,5,4 x 4,Essence,2,"
         Mahindra kuv 100
50. 000 km
décembre 2019
on très bon état
        "
Mazdaa 4*4. 97308227,111111111111111,"Sfax , 9 days ago",400000,Vert,Manuelle,2003,2.0L,Mazda,B 2500,10,4 x 4,Diesel,2,"

          Mazdaa 4*4 emte3 ksibaa moteur jdid emte3 flae
          







             Afficher le numéro
            



"
tricycles,2000,"Tunis , 19 days ago",2019,4,"
         A vendre 3 tricycles publicitaires pouvant servir d'activité mobile (marchand pop corne/marchand de sandwich/ marchand ambulant,..)
Possibilité d'installation de moteur électrique
Prix unitaire 2000dt
        ",,,,,,,,,
C3,22,"Sfax , a month ago",190,Blanc,Manuelle,2014,<1.0L,Citroen,C3,5,Berline,Essence,4,"
         voiture à vendre en bon état
        "
punto état d'origine,1,"Ben Arous , 3 days ago",1,Blanc,Manuelle,1999,1.2L,Fiat,Punto,4,Compacte,Essence,7,"
         à vendre fiât punto peinture et numéro de châssis d'origine voiture très bonne état
        "
golf7 diesel,73000,"Sousse , 2 days ago",101000,Gris,Manuelle,2018,1.6L,Volkswagen,Golf 7,6,Compacte,Diesel,10,"

          Golf 7 importé
diesel
toutes options
pack assiste caméra
carnet d'entretien
101000 km
état neuf
possibilité de faire diagnostic chez concessionnaire automobile
Possibilité de faire échange avec une autre voiture
la voiture se trouve à Sousse
mise en circulation 09/09/2018
clé double
quatre pneu neuf
couleur : gris champagne
prix : 73000
contact :
          







             Afficher le numéro
            




          /
          







             Afficher le numéro
            



"
golf 7 européenne,47,"Médenine , a month ago",189,Bleu,Manuelle,2014,1.2L,Volkswagen,Golf 7,5,Compacte,Essence,6,"

          A vendre golf 7 européenne tout options année 2014 kilométrage 189 Mkm disponible à Médenine tél
          







             Afficher le numéro
            



"
vespa px,7500,"Nabeul , a month ago",100,Bleu,Automatique,2022,8,"
         vespa px ss carte grise en bonne état prix négociable
        ",,,,,,
numéro 27110062,5000,"Jendouba , 13 days ago",95000,Noir,Manuelle,1991,1.1L,Opel,Kadett,5,Autres,Essence,6,"
         en bon état
tout en marche
        "
Symbol voiture en très bon etat avendre,0,"Tunis , 25 days ago",Noir,Manuelle,Autres,Autres,<1.0L,Essence,Autres,5,"

          Symbol en tres bon état premiere main
Avendre
Num :
          







             Afficher le numéro
            



",,,
toyota hilux,60,"Kasserine , 12 days ago",120,Blanc,Automatique,2017,2.7L,Autres,Autres,15,Pick up,Essence,7,"

          hilux essnce 2700 modele 2017 mchya 120
num :
          







             Afficher le numéro
            



"
Fiât 500,42000,"Tunis , a month ago",82000,Autre,Automatique,2018,1.1L,Fiat,500X,5,Compacte,Essence,6,"
         vends fiât 500 boîte auto 82000 kms tte options
        "
Ktm 1290 Super Duke R,51000,"Tunis , 25 days ago",35000,Orange,Manuelle,2016,7,"
         Une moto en parfait état, parfaitement entretenue, pneus neufs, entretiens effectué, aucune dépenses à prévoir
        ",,,,,,
206 sedan état impeccable,14500,"Kairouan , 23 days ago",225000,Bleu,Manuelle,2007,1.4L,Peugeot,206,6,Berline,Essence,7,"
         Belle voiture en bon état. Jamais accidentée. Moteur en très très bon état et carrosserie en bon état. Très bien entretenue. Vente causé départ. Prix peux négociable dans une limite raisonnable.
        "
i 10 1ére main tél 97 237 172,0,"Tunis , 7 hours ago",50,Gris,Manuelle,2021,1.4L,Hyundai,I 10,4,Berline,Essence,7,"

          i 10 1ére main peinture d'origine toute option tél
          







             Afficher le numéro
            



"
⚜️ SEAT LEON STYLE PLUS ⚜️,52500,"Ariana , 3 days ago",160000,Noir,Manuelle,2016,1.2L,Seat,Leon,05,Berline,Essence,10,"

          ⚜️ SEAT LEON STYLE PLUS ⚜️
✅ 10/2016
✅ 160.000 km
✅ Essence 05 TSI Cv 1.2 L
✅ toit panoramique
✅ Commandes au volant
✅ USB | AUX | Bluetooth | Commande vocale
✅ Écran Tactile
✅ VOLANT Multi-fonctions
✅ Radar de recul | Radar avant | Caméra de recul
✅ Full LED | LED
✅ JANTES En aluminium
✅ CLIMATISATION Automatique | Bizone
✅ RÉTROVISEURS Électriques |l
💰 55 💰
🔄 Possibilité d’échange 🔄
📲 Tel :
          







             Afficher le numéro
            



         📱
📌 Showroom Platinium Auto Ariana : Rond Point entre Ariana et la Soukra (Direction Tunis sous le pont autoroute bizerte)
        "
symbole à vendre,0,"Mahdia , a month ago",100.000,Blanc,Manuelle,2021,1.2L,Renault,Symbol,5,Autres,Essence,10,"
         à vendre symbole en excellente état
        "
Dacia DOkKER premier main,30000,"Zaghouan , an hour ago",155000,Blanc,Manuelle,2019,1.5L,Dacia,Dokker,6,Monospace,Diesel,8,"
         A vendre Dacia DOkKER Vitré en très bonne état année 2019 avec 155000km
Toute options
climatiseur
vitre électrique
Airbag
poste bluetooth
commande au volant
feu de jour
retroviseur électrique
une voiture très propre 👍
        "
Accéssoires Clio,1,"Tunis , 14 days ago",10,"
         Av plusieurs accessoires pour clio:
- Cache air bag Passager Clio 2 phase 1.
- Volant avec air bag Clio 2 phase 1.
- Cache Baffle avant et arriere..
- Baffle D'origine..
- Bouton vitre electrique..
- Poignee chrome et noir..
- Poignee chaise..
- Anti brouillard clio 2 phase 2..
- Retroviseur Electrique..
- Sondrier clio 2 phase 1 et 2..
- Boulle de vitesse clio 4 et symbol..
- Porte reservoir clio 2 phase 1 et 2..
- Porte boite a gant..
- Serrure porte..
- Bloucus des 5 portes..
- Amortisseur mal arriere clio 2 phase 1 et 2 et clio 3..
- Afficheur clio 2 phase 1 et 2..
- Console central clio 2 phase 2.. - Conduit aeration clio 2 phase 2..
- Commande climatiseur clio 2 phase 2..
- Baguette vitre..
- 3 eme stop clio 2 et 3..
- Calculateur air bag..
- ........
        ",,,,,,,,,,
jeep renegade,54000,"Tunis , a day ago",187,Noir,Manuelle,2017,1.6L,Jeep,Commander,5,4 x 4,Essence,6,"
         très bonne état
        "
volkeswagen T ROC Essence,0,"Sousse , a day ago",103000,Bleu,Manuelle,2019,1.2L,Volkswagen,Touran,6,Compacte,Essence,10,"

          volkeswagen T roc 2019 Essence 6 cv 103.000 km importer
          







             Afficher le numéro
            












             Afficher le numéro
            



"
Pose pied Tmax 530,100,"Gabès , 3 days ago",2,"
         Pose pied t max 530
        ",,,,,,,,,,
Polo7 neuf,1,"Sfax , 6 days ago",170,Noir,Manuelle,2012,1.2L,Volkswagen,Polo,5,Compacte,Essence,10,"
         tout opsion
        "
vespa,2500,"Tunis , 19 days ago",12345,Noir,Manuelle,2010,4,"








             Afficher le numéro
            



",,,,,,
"fiat Ducato moteur Iveco turbo 2, 8 ndhifa",0,"Bizerte , 12 days ago",0000,Bleu,Manuelle,1998,2.8L,Fiat,Ducato,12,Utilitaire,Diesel,6,"

          Fiat Ducato moteur Iveco turbo 2,8 en très bonne état...vitre électrique.. direction assistée..kit embrayage neuf..3jeli zouz avant jdod w zouz arrière ndhaf..wra9ha lkok 5alsa..ndhifa intérieur w extérieur.. prix légèrement négociable..
Tel:
          







             Afficher le numéro
            



"
Voiture Hyundai G I10,41000,"Tunis , 13 days ago",55000,Bleu,Manuelle,2021,<1.0L,Hyundai,I 10,4,Autres,Essence,5,"

          à vendre voiture Hyundai Gi10 bleu vert 4CV première main. année décembre 2021. Visite sur RDV.
Tel:
          







             Afficher le numéro
            



"
mascott camion point lour,30000,"Sfax , 23 days ago",500000,Blanc,Manuelle,2005,3.0L,Renault,Mascott,3,Autres,Diesel,4,"
         mascott : moteur et boite c11 avec 6 pneu neuf
        "
a vendre,0,"Ariana , 17 days ago",250000,Bleu,Manuelle,2007,1.2L,Ford,Fiesta,5,Compacte,Essence,2,"
         a vendre ford fiesta
        "
CITROEN BERLINGO KEBILI,22000,"Kébili , 25 days ago",239000,Bleu,Manuelle,2010,1.9L,Citroen,Berlingo,7,Compacte,Diesel,6,"

          * BERLINGO EN TRES BON ETAT
*MOTEUR NORMAL
*TELEPHONE
          







             Afficher le numéro
            



"
Suzuki vitara,65,"Bizerte , a month ago",130,Gris,Automatique,2019,1.4L,Suzuki,Vitara,6,4 x 4,Essence,1,"
         Pharmacien vend vitara première main
        "
Compresseur climatiseur grande punto original,450,"Sousse , a month ago",2,"

          Compresseur climatiseur grande punto original à vendre
Tél :
          







             Afficher le numéro
            



",,,,,,,,,,
Peugeot 308,47000,"Médenine , a month ago",144000,Gris,Manuelle,2019,1.2L,Peugeot,308,6,Compacte,Essence,8,"

          Je met en vente ma voiture Peugeot 308, 1.2L - 110 Ch DIN.
Première main, mise en circulation en 12/2019.
- ABS
- ESP
- aide de démarrage en côte
- Mode start&stop
- Bluetooth
- 4 pneus neufs
- roue de secours jamais utilisée.
- Entretien régulier chez Maison Peugeot (carnet d'entretien disponible).
- Moteur récemment remplacé chez Maison Peugeot (garantie 1 an).
En très bon état. Prix négociable
Tél :
          







             Afficher le numéro
            



"
Megane Casquette phase II Dci 1.5,0,"Monastir , 7 days ago",180000,Noir,Manuelle,2006,1.5L,Renault,Megane,5,Compacte,Diesel,10,"

          🆕 A Vendre Megan Phase II 🚘 👑 française 👰 TU 123 a Monastir
☎ 📱 Tel:
          







             Afficher le numéro
            



         ⛔️ Pour les sérieux, Curieux s'abstenir.
☑ État neuf
☑intérieur neuf
☑➡Mise en circulation 2006
☑➡ Kilométrage Vérifié chez maison Renault
☑➡Energie : Diesel
☑➡Puissance fiscal : 5 CV moteur normal ✋
✅➡Double clés avec code
✅➡Climatiseur et chauffage installé
✅➡ Doubles toit
✅➡Fermeture centrale
✅➡Système alarme
✅➡Post
✅➡6 Airbags
✅➡4 pneus neuf
✅➡ carnet d'entretien chez Renault
✅➡Vignette 2023 payé
        "
jeep compass,35,"Sousse , 2 days ago",340,Noir,Manuelle,20078,2.0L,Jeep,Compass,8,4 x 4,Diesel,10,"

          A vendre jeep compass diesel
téléphone
          







             Afficher le numéro
            



"
beb,0,"Ariana , 24 days ago",2023,2,"
         beb 7adid
        ",,,,,,,,,
Suzuki Cias,60000,"Ariana , a month ago",39500,Noir,Manuelle,2022,1.5L,Suzuki,Maruti,6,Berline,Essence,10,"








             Afficher le numéro
            



         Voiture neuf
Entretien chez maison mère
        "
